Date: 2018-10-28 | Player: Paul Pogba | Foot: right | Team: Manchester United | GameID: 513744             | Outcome: 0 | Direction:  bottom left corner
Date: 2018-10-28 | Player: Gylfi Sigurdsson | Foot: right | Team: Everton | GameID: 513744             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-10-28 | Player: Paul Pogba | Foot: right | Team: Manchester United | GameID: 513744             | Outcome: 0 | Direction:  bottom left corner
Date: 2018-11-11 | Player: Anthony Martial | Foot: right | Team: Manchester United | GameID: 513725             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-02 | Player: Harry Kane | Foot: right | Team: Tottenham Hotspur | GameID: 513706             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-12-02 | Player: Pierre-Emerick Aubameyang | Foot: right | Team: Arsenal | GameID: 513706             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-12-02 | Player: Harry Kane | Foot: right | Team: Tottenham Hotspur | GameID: 513706             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-12-02 | Player: Pierre-Emerick Aubameyang | Foot: right | Team: Arsenal | GameID: 513706             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-12-04 | Player: Luka Milivojevic | Foot: right | Team: Crystal Palace | GameID: 513695             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-04 | Player: Glenn Murray | Foot: right | Team: Brighton and Hove Albion | GameID: 513695             | Outcome: 1 | Direction:  top right corner
Date: 2018-12-04 | Player: Luka Milivojevic | Foot: right | Team: Crystal Palace | GameID: 513695             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-04 | Player: Glenn Murray | Foot: right | Team: Brighton and Hove Albion | GameID: 513695             | Outcome: 1 | Direction:  top right corner
Date: 2018-12-04 | Player: Joe Ralls | Foot: left | Team: Cardiff City | GameID: 513693             | Outcome: 0 | Direction:  bottom right corner
Date: 2018-12-08 | Player: Aboubakar Kamara | Foot: right | Team: Fulham | GameID: 513682             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-26 | Player: Eden Hazard | Foot: right | Team: Chelsea | GameID: 513653             | Outcome: 1 | Direction:  centre of the goal
Date: 2018-12-26 | Player: Gylfi Sigurdsson | Foot: right | Team: Everton | GameID: 513654             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-12-26 | Player: Mohamed Salah | Foot: left | Team: Liverpool | GameID: 513657             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-12-29 | Player: James Maddison | Foot: right | Team: Leicester City | GameID: 513642             | Outcome: 0 | Direction:  bottom left corner
Date: 2018-12-29 | Player: Roberto Firmino | Foot: right | Team: Liverpool | GameID: 513640             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-29 | Player: Mohamed Salah | Foot: left | Team: Liverpool | GameID: 513640             | Outcome: 1 | Direction:  centre of the goal
Date: 2018-12-29 | Player: Roberto Firmino | Foot: right | Team: Liverpool | GameID: 513640             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-29 | Player: Mohamed Salah | Foot: left | Team: Liverpool | GameID: 513640             | Outcome: 1 | Direction:  centre of the goal
Date: 2018-12-29 | Player: Aboubakar Kamara | Foot: right | Team: Fulham | GameID: 513645             | Outcome: 0 | Direction:  bottom right corner
Date: 2018-01-31 | Player: Jamie Vardy | Foot: right | Team: Leicester City | GameID: 480662             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-01-31 | Player: Glenn Murray | Foot: right | Team: Brighton and Hove Albion | GameID: 480660             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-01-31 | Player: Joselu | Foot: right | Team: Newcastle United | GameID: 480661             | Outcome: 0 | Direction:  bottom right corner
Date: 2018-02-11 | Player: Rajiv van La Parra | Foot: right | Team: Huddersfield Town | GameID: 480637             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-02-24 | Player: Glenn Murray | Foot: right | Team: Brighton and Hove Albion | GameID: 480633             | Outcome: 1 | Direction:  high centre of the goal
Date: 2018-08-18 | Player: Kenedy | Foot: left | Team: Newcastle United | GameID: 513826             | Outcome: 0 | Direction:  centre of the goal
Date: 2018-08-18 | Player: Marko Arnautovic | Foot: right | Team: West Ham United | GameID: 513821             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-08-19 | Player: Paul Pogba | Foot: right | Team: Manchester United | GameID: 513825             | Outcome: 1 | Direction:  high centre of the goal
Date: 2018-08-19 | Player: Pascal Groß | Foot: right | Team: Brighton and Hove Albion | GameID: 513825             | Outcome: 1 | Direction:  high centre of the goal
Date: 2018-08-19 | Player: Paul Pogba | Foot: right | Team: Manchester United | GameID: 513825             | Outcome: 1 | Direction:  high centre of the goal
Date: 2018-08-19 | Player: Pascal Groß | Foot: right | Team: Brighton and Hove Albion | GameID: 513825             | Outcome: 1 | Direction:  high centre of the goal
Date: 2018-08-26 | Player: Eden Hazard | Foot: right | Team: Chelsea | GameID: 513813             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-09-15 | Player: Eden Hazard | Foot: right | Team: Chelsea | GameID: 513793             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-09-15 | Player: James Maddison | Foot: right | Team: Leicester City | GameID: 513796             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-09-15 | Player: Joshua King | Foot: right | Team: Bournemouth | GameID: 513796             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-09-15 | Player: James Maddison | Foot: right | Team: Leicester City | GameID: 513796             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-09-15 | Player: Joshua King | Foot: right | Team: Bournemouth | GameID: 513796             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-12-01 | Player: Jamie Vardy | Foot: right | Team: Leicester City | GameID: 513707             | Outcome: 1 | Direction:  bottom left corner
