indx,Date,Player,Foot,Team,GameID,Outcome,Direction,outcome
280,2020-09-19,Mateusz Klich,right,Leeds United,578644,1,centre of the goal,Scored
281,2020-09-19,Aleksandar Mitrović,right,Fulham,578644,1,bottom left corner,Scored
282,2020-09-19,Wilfried Zaha,right,Crystal Palace,578643,1,top left corner,Scored
283,2020-09-20,Danny Ings,right,Southampton,578648,1,centre of the goal,Scored
284,2020-09-20,Neal Maupay,right,Brighton and Hove Albion,578641,1,centre of the goal,Scored
285,2020-09-20,Jorginho,right,Chelsea,578645,0,bottom right corner,Missed
286,2020-09-21,John Lundstram,right,Sheffield United,578647,0,bottom left corner,Missed
287,2020-09-21,Kevin De Bruyne,right,Manchester City,578646,1,bottom right corner,Scored
288,2020-09-26,Neal Maupay,right,Brighton and Hove Albion,578637,1,top centre of the goal,Scored
289,2020-09-26,Bruno Fernandes,right,Manchester United,578637,1,top right corner,Scored
290,2020-09-26,Richarlison,right,Everton,578634,1,top left corner,Scored
291,2020-09-27,Callum Wilson,right,Newcastle United,578638,1,bottom left corner,Scored
294,2020-09-27,Youri Tielemans,right,Leicester City,578636,1,bottom right corner,Scored
297,2020-10-03,Callum Wilson,right,Newcastle United,578622,1,top centre of the goal,Scored
298,2020-10-04,Bruno Fernandes,right,Manchester United,578628,1,bottom right corner,Scored
299,2020-10-04,Harry Kane,right,Tottenham Hotspur,578628,1,top left corner,Scored
300,2020-10-17,Bruno Fernandes,right,Manchester United,578617,0,bottom left corner,Missed
301,2020-10-18,Billy Sharp,right,Sheffield United,578615,1,top right corner,Scored
302,2020-10-18,Aleksandar Mitrović,right,Fulham,578615,0,the bar,Missed
303,2020-10-18,Wilfried Zaha,right,Crystal Palace,578613,1,bottom right corner,Scored
304,2020-10-24,Sander Berge,right,Sheffield United,578608,1,bottom right corner,Scored
305,2020-10-31,Mohamed Salah,left,Liverpool,578600,1,centre of the goal,Scored
306,2020-11-01,Ollie Watkins,right,Aston Villa,578598,1,top right corner,Scored
307,2020-11-01,Callum Wilson,right,Newcastle United,578595,1,centre of the goal,Scored
308,2020-11-01,Pierre-Emerick Aubameyang,right,Arsenal,578591,1,bottom right corner,Scored
309,2020-11-01,Harry Kane,right,Tottenham Hotspur,578592,1,bottom right corner,Scored
310,2020-11-02,Youri Tielemans,right,Leicester City,578596,1,top left corner,Scored
311,2020-11-07,Ademola Lookman,right,Fulham,578583,0,bottom left corner,Missed
312,2020-11-08,Jamie Vardy,right,Leicester City,578590,1,top right corner,Scored
313,2020-11-08,Jamie Vardy,right,Leicester City,578590,0,centre of the goal,Missed
314,2020-11-08,Kevin De Bruyne,right,Manchester City,578585,0,left,Missed
315,2020-11-08,Mohamed Salah,left,Liverpool,578585,1,bottom left corner,Scored
316,2020-11-21,Bruno Fernandes,right,Manchester United,578579,1,top left corner,Scored
317,2020-11-22,Ivan Cavaleiro,right,Fulham,578575,0,left,Missed
318,2020-11-28,Neal Maupay,right,Brighton and Hove Albion,578565,0,right,Missed
319,2020-11-28,Pascal Groß,right,Brighton and Hove Albion,578565,1,centre of the goal,Scored
320,2020-11-30,Ivan Cavaleiro,right,Fulham,578563,1,top right corner,Scored
321,2020-11-30,Ollie Watkins,right,Aston Villa,578561,0,the bar,Missed
322,2020-12-05,Kevin De Bruyne,right,Manchester City,578554,1,bottom right corner,Scored
323,2020-12-07,Pascal Groß,right,Brighton and Hove Albion,578559,1,top right corner,Scored
324,2020-12-07,Danny Ings,right,Southampton,578559,1,bottom left corner,Scored
325,2020-12-11,Mateusz Klich,right,Leeds United,578550,1,bottom right corner,Scored
326,2020-12-12,Anwar El Ghazi,right,Aston Villa,578541,1,bottom right corner,Scored
327,2020-12-12,Gylfi Sigurðsson,right,Everton,578544,1,centre of the goal,Scored
328,2020-12-13,Mohamed Salah,left,Liverpool,578545,1,centre of the goal,Scored
329,2020-12-19,Nicolas Pépé,left,Arsenal,578521,1,bottom left corner,Scored
330,2020-12-19,Callum Wilson,right,Newcastle United,578523,1,centre of the goal,Scored
331,2020-12-20,Jamie Vardy,right,Leicester City,578525,1,centre of the goal,Scored
332,2020-12-20,Bruno Fernandes,right,Manchester United,578524,1,bottom right corner,Scored
333,2020-12-20,Anwar El Ghazi,right,Aston Villa,578522,1,top centre of the goal,Scored
334,2020-12-21,Fábio Silva,right,Wolverhampton Wanderers,578530,1,bottom left corner,Scored
335,2020-12-26,Alexandre Lacazette,right,Arsenal,578513,1,centre of the goal,Scored
336,2020-12-26,Jorginho,right,Chelsea,578513,0,bottom right corner,Missed
337,2020-12-27,Patrick Bamford,left,Leeds United,578512,1,top right corner,Scored
338,2020-12-28,Kelechi Iheanacho,left,Leicester City,578505,0,bottom right corner,Missed
292,2020-09-27,Jamie Vardy,right,Leicester City,578636,1,top left corner,Scored
293,2020-09-27,Jamie Vardy,right,Leicester City,578636,1,bottom right corner,Scored
295,2020-10-03,Jorginho,right,Chelsea,578623,1,bottom right corner,Scored
296,2020-10-03,Jorginho,right,Chelsea,578623,1,centre of the goal,Scored
262,2020-07-11,Troy Deeney,right,Watford,541502,1,centre of the goal,Scored
263,2020-07-11,Troy Deeney,right,Watford,541502,1,top left corner,Scored
275,2020-09-12,Mohamed Salah,left,Liverpool,578655,1,top centre of the goal,Scored
276,2020-09-12,Mohamed Salah,left,Liverpool,578655,1,bottom left corner,Scored
