indx,Date,Player,Foot,Team,GameID,Outcome,Direction,outcome
227,2020-01-01,Mark Noble,right,West Ham United,541636,1,bottom right corner,Scored
228,2020-01-11,Jorginho,right,Chelsea,541627,1,bottom right corner,Scored
229,2020-01-11,Marcus Rashford,right,Manchester United,541631,1,bottom right corner,Scored
230,2020-01-12,Anwar El Ghazi,right,Aston Villa,541629,1,top left corner,Scored
231,2020-01-18,Troy Deeney,right,Watford,541623,0,bottom left corner,Missed
232,2020-01-18,Raúl Jiménez,right,Wolverhampton Wanderers,541624,1,bottom right corner,Scored
233,2020-01-18,Teemu Pukki,right,Norwich City,541616,1,top centre of the goal,Scored
234,2020-01-19,Jamie Vardy,right,Leicester City,541620,0,bottom right corner,Missed
235,2020-01-21,Gabriel Jesus,right,Manchester City,541611,0,bottom left corner,Missed
236,2020-01-21,Jorginho,right,Chelsea,541606,1,bottom right corner,Scored
237,2020-01-22,Ayoze Pérez,right,Leicester City,541614,1,top left corner,Scored
238,2020-01-22,Mark Noble,right,West Ham United,541614,1,centre of the goal,Scored
239,2020-01-22,Teemu Pukki,right,Norwich City,541607,1,bottom right corner,Scored
240,2020-01-29,Mohamed Salah,left,Liverpool,541670,1,bottom right corner,Scored
241,2020-02-02,İlkay Gündoğan,right,Manchester City,541600,0,bottom right corner,Missed
242,2020-02-16,Son Heung-min,right,Tottenham Hotspur,541592,0,bottom left corner,Missed
243,2020-02-22,Jay Rodriguez,right,Burnley,541576,1,top right corner,Scored
244,2020-02-22,Sergio Agüero,right,Manchester City,541579,0,centre of the goal,Missed
245,2020-02-23,Bruno Fernandes,right,Manchester United,541583,1,bottom right corner,Scored
246,2020-03-07,Matt Ritchie,left,Newcastle United,541560,0,bottom right corner,Missed
247,2020-03-07,Dele Alli,right,Tottenham Hotspur,541562,1,bottom right corner,Scored
248,2020-03-09,Jamie Vardy,right,Leicester City,541555,1,centre of the goal,Scored
249,2020-06-17,Kevin De Bruyne,right,Manchester City,541565,1,bottom right corner,Scored
250,2020-06-19,Bruno Fernandes,right,Manchester United,541551,1,bottom left corner,Scored
251,2020-06-22,Riyad Mahrez,left,Manchester City,541546,1,bottom left corner,Scored
252,2020-06-23,Neal Maupay,right,Brighton and Hove Albion,541538,0,bottom left corner,Missed
253,2020-06-25,Willian,right,Chelsea,541541,1,top left corner,Scored
254,2020-07-01,Gylfi Sigurðsson,right,Everton,541527,1,centre of the goal,Scored
255,2020-07-01,Willian,right,Chelsea,541526,1,bottom left corner,Scored
256,2020-07-02,Kevin De Bruyne,right,Manchester City,541528,1,bottom left corner,Scored
257,2020-07-04,Marcus Rashford,right,Manchester United,541517,1,bottom right corner,Scored
258,2020-07-04,Joshua King,right,Bournemouth,541517,1,bottom right corner,Scored
259,2020-07-04,Willian,right,Chelsea,541523,1,top right corner,Scored
260,2020-07-09,James Ward-Prowse,right,Southampton,541512,0,the bar,Missed
261,2020-07-09,Bruno Fernandes,right,Manchester United,541509,1,bottom left corner,Scored
264,2020-07-12,Raúl Jiménez,right,Wolverhampton Wanderers,541499,1,bottom left corner,Scored
265,2020-07-12,Junior Stanislas,right,Bournemouth,541500,1,top centre of the goal,Scored
266,2020-07-15,Chris Wood,right,Burnley,541494,1,top right corner,Scored
267,2020-07-19,Danny Ings,right,Southampton,541483,0,bottom right corner,Missed
268,2020-07-21,Raheem Sterling,right,Manchester City,541481,0,bottom left corner,Missed
269,2020-07-22,Michail Antonio,right,West Ham United,541484,1,bottom right corner,Scored
270,2020-07-26,Danny Ings,right,Southampton,541471,1,bottom right corner,Scored
271,2020-07-26,Joshua King,right,Bournemouth,541466,1,bottom right corner,Scored
272,2020-07-26,Pierre-Emerick Aubameyang,right,Arsenal,541473,1,bottom left corner,Scored
273,2020-07-26,Troy Deeney,right,Watford,541473,1,bottom right corner,Scored
274,2020-07-26,Bruno Fernandes,right,Manchester United,541469,1,bottom left corner,Scored
277,2020-09-13,Jamie Vardy,right,Leicester City,578656,1,bottom left corner,Scored
278,2020-09-13,Jamie Vardy,right,Leicester City,578656,1,bottom left corner,Scored
279,2020-09-14,Jorginho,right,Chelsea,578651,1,bottom left corner,Scored
