Date: 2020-12-26 | Player: Jorginho | Foot: right | Team: Chelsea | GameID: 578513             | Outcome: 0 | Direction:  bottom right corner
Date: 2020-12-26 | Player: Alexandre Lacazette | Foot: right | Team: Arsenal | GameID: 578513             | Outcome: 1 | Direction:  centre of the goal
Date: 2020-12-26 | Player: Jorginho | Foot: right | Team: Chelsea | GameID: 578513             | Outcome: 0 | Direction:  bottom right corner
Date: 2020-12-26 | Player: Alexandre Lacazette | Foot: right | Team: Arsenal | GameID: 578513             | Outcome: 1 | Direction:  centre of the goal
Date: 2020-12-11 | Player: Mateusz Klich | Foot: right | Team: Leeds United | GameID: 578550             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-02-22 | Player: Jay Rodriguez | Foot: right | Team: Burnley | GameID: 541576             | Outcome: 1 | Direction:  top right corner
Date: 2020-02-22 | Player: Sergio Agüero | Foot: right | Team: Manchester City | GameID: 541579             | Outcome: 0 | Direction:  centre of the goal
Date: 2020-02-23 | Player: Bruno Fernandes | Foot: right | Team: Manchester United | GameID: 541583             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-02-02 | Player: Ilkay Gündogan | Foot: right | Team: Manchester City | GameID: 541600             | Outcome: 0 | Direction:  bottom right corner
Date: 2020-02-16 | Player: Son Heung-Min | Foot: right | Team: Tottenham Hotspur | GameID: 541592             | Outcome: 0 | Direction:  bottom left corner
Date: 2020-09-20 | Player: Neal Maupay | Foot: right | Team: Brighton and Hove Albion | GameID: 578641             | Outcome: 1 | Direction:  centre of the goal
Date: 2020-09-20 | Player: Danny Ings | Foot: right | Team: Southampton | GameID: 578648             | Outcome: 1 | Direction:  centre of the goal
Date: 2020-09-20 | Player: Jorginho | Foot: right | Team: Chelsea | GameID: 578645             | Outcome: 0 | Direction:  bottom right corner
Date: 2020-09-19 | Player: Mateusz Klich | Foot: right | Team: Leeds United | GameID: 578644             | Outcome: 1 | Direction:  centre of the goal
Date: 2020-09-19 | Player: Aleksandar Mitrovic | Foot: right | Team: Fulham | GameID: 578644             | Outcome: 1 | Direction:  bottom left corner
Date: 2020-09-19 | Player: Mateusz Klich | Foot: right | Team: Leeds United | GameID: 578644             | Outcome: 1 | Direction:  centre of the goal
Date: 2020-09-19 | Player: Aleksandar Mitrovic | Foot: right | Team: Fulham | GameID: 578644             | Outcome: 1 | Direction:  bottom left corner
Date: 2020-09-19 | Player: Wilfried Zaha | Foot: right | Team: Crystal Palace | GameID: 578643             | Outcome: 1 | Direction:  top left corner
Date: 2020-09-12 | Player: Mohamed Salah | Foot: left | Team: Liverpool | GameID: 578655             | Outcome: 1 | Direction:  bottom left corner
Date: 2020-09-12 | Player: Mohamed Salah | Foot: left | Team: Liverpool | GameID: 578655             | Outcome: 1 | Direction:  high centre of the goal
Date: 2020-09-12 | Player: Mohamed Salah | Foot: left | Team: Liverpool | GameID: 578655             | Outcome: 1 | Direction:  bottom left corner
Date: 2020-09-12 | Player: Mohamed Salah | Foot: left | Team: Liverpool | GameID: 578655             | Outcome: 1 | Direction:  high centre of the goal
Date: 2020-09-26 | Player: Richarlison | Foot: right | Team: Everton | GameID: 578634             | Outcome: 1 | Direction:  top left corner
Date: 2020-09-26 | Player: Bruno Fernandes | Foot: right | Team: Manchester United | GameID: 578637             | Outcome: 1 | Direction:  top right corner
Date: 2020-09-26 | Player: Neal Maupay | Foot: right | Team: Brighton and Hove Albion | GameID: 578637             | Outcome: 1 | Direction:  high centre of the goal
Date: 2020-09-26 | Player: Bruno Fernandes | Foot: right | Team: Manchester United | GameID: 578637             | Outcome: 1 | Direction:  top right corner
Date: 2020-09-26 | Player: Neal Maupay | Foot: right | Team: Brighton and Hove Albion | GameID: 578637             | Outcome: 1 | Direction:  high centre of the goal
Date: 2020-01-19 | Player: Jamie Vardy | Foot: right | Team: Leicester City | GameID: 541620             | Outcome: 0 | Direction:  bottom right corner
Date: 2020-01-22 | Player: Teemu Pukki | Foot: right | Team: Norwich City | GameID: 541607             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-01-22 | Player: Ayoze Pérez | Foot: right | Team: Leicester City | GameID: 541614             | Outcome: 1 | Direction:  top left corner
