indx,pen_taker,outcome,goalkeepers,off_target,Foot,Direction,Dominant_side,Height
370,Luka Milivojević,Goal,Sam Johnstone,,right,bottom right corner,right,193
371,Sergio Agüero,Goal,Alphonse Areola,,right,bottom left corner,right,195
372,Alexandre Lacazette,Goal,Hugo Lloris,,right,bottom right corner,left,188
373,Harry Kane,Goal,Emiliano Martínez,,right,bottom left corner,right,195
374,Chris Wood,Goal,Fraser Forster,,right,centre of the goal,right,201
375,Matheus Pereira,Goal,Fraser Forster,,left,centre of the goal,right,201
376,James Ward-Prowse,Saved,Sam Johnstone,,right,bottom left corner,right,193
377,Gylfi Sigurðsson,Goal,Hugo Lloris,,right,bottom right corner,left,188
378,Jesse Lingard,Goal,Martin Dúbravka,,right,bottom left corner,right,191
379,Josh Maja,Goal,Mathew Ryan,,right,top left corner,right,184
380,Son Heung-min,Goal,Alex McCarthy,,right,bottom right corner,right,193
381,Anwar El Ghazi,Goal,Sam Johnstone,,right,bottom left corner,right,193
382,Matheus Pereira,Goal,Emiliano Martínez,,left,top right corner,right,195
383,James Ward-Prowse,Goal,Kasper Schmeichel,,right,bottom left corner,right,189
384,Pascal Groß,Goal,Illan Meslier,,right,bottom left corner,left,196
385,Chris Wood,Goal,Łukasz Fabiański,,right,bottom left corner,right,190
386,Sergio Agüero,Saved,Edouard Mendy,,right,top centre of the goal,right,196
387,Bruno Fernandes,Goal,Emiliano Martínez,,right,bottom right corner,right,195
388,Luka Milivojević,Saved,Fraser Forster,,right,bottom right corner,right,201
389,Joelinton,Goal,Scott Carson,,right,bottom left corner,right,188
390,Joe Willock,Saved,Scott Carson,,right,bottom right corner,right,188
391,Jorginho,Goal,Kasper Schmeichel,,right,bottom right corner,right,189
392,Declan Rice,Off T,Sam Johnstone,1.0,right,left post,right,193
393,Juan Mata,Goal,Rui Patrício,,left,top left corner,left,190
394,Patrick Bamford,Goal,Sam Johnstone,,left,centre of the goal,right,193
395,Jamie Vardy,Goal,Hugo Lloris,,right,bottom right corner,left,188
396,Jamie Vardy,Goal,Hugo Lloris,,right,bottom right corner,left,188
397,Anwar El Ghazi,Goal,Kepa Arrizabalaga,,right,bottom right corner,right,186
398,Gylfi Sigurðsson,Saved,Ederson,,right,bottom left corner,left,188
399,Fabian Schär,Goal,Marek Rodák,,right,bottom left corner,right,196
